"Visserij en aquacultuur; hoeveelheid vis, schaal- en schelpdieren"
""
""
"Onderwerp";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid";"Aangevoerde hoeveelheid"
"Vissoorten, schaal- en schelpdieren";"Europese kreeft";"Griet";"Noordzee garnalen";"Noordzeekrab";"Langoustine (Noorse kreeft)";"Mossel";"Oesters";"Kabeljauw";"Rode poon";"Schar";"Schelvis";"Schol";"Tarbot";"Tong";"Wijting";"Zeebaars";"Totaal kweekvis";"Gekweekte paling";"Overige kweekvis";"Blauwe wijting (bevroren aangevoerd)";"Haring (bevroren aangevoerd)";"Horsmakreel (bevroren aangevoerd)";"Makreel (bevroren aangevoerd)";"Sardines (bevroren aangevoerd)"
"Perioden";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"1994";".";"1310";"7995";".";"169";"105000";".";"9152";".";".";"287";"66443";"3159";"25018";"4158";".";"2397";"1500";"910";"25736";"115792";"121825";"100308";"."
"2000";".";"1106";"8450";".";"725";"66800";"2952";"8238";".";"9273";"305";"52664";"2763";"17483";"2247";".";"6389";"3700";"2689";"58216";"142233";"114036";"71334";"."
"2005";"24";"1258";"9651";"983";"2250";"59457";"2641";"2846";"2882";"8964";"153";"51843";"3939";"21856";"1603";"455";"8675";"4000";"4675";"155992";"227998";"104184";"49895";"8064"
"2010";"26";"1285";"14044";"1813";"1342";"56092";"3510";"3415";"1251";"6251";"55";"45096";"1994";"10221";"828";"313";"6600";"3000";"3610";"48090";"89491";"122991";"67333";"9200"
"2015 ";"82";"1308";"16672";"2716";"1476";"54210";"2704";"1488";"3113";"3002";"70";"49744";"2073";"10328";"1233";"217";"5290";"2000";"3290";"101892";"172550";"57086";"113506";"17562"
"2016";"64";"945";"16158";"522";"1658";"53167";"3299";"1252";"3777";"2699";"187";"35318";"1838";"9575";"1182";"156";"5290";"2000";"3290";"65022";"127180";"33619";"58650";"36895"
"2017";"80";"930";"11855";"1271";"1971";"43968";"2241";"627";"3420";"1866";"127";"32209";"2015";"9234";"1275";"139";"4921";"2000";"2921";"122756";"152006";"42432";"76099";"30293"
"2018";"49";"794";"24001";"2521";"1132";"45482";"2551";"533";"2467";"2239";"123";"26485";"1953";"8426";"1100";"165";"5471";"2150";"3321";"150025";"179244";"38207";"60588";"19952"
"2019";"42";"888";"14016";"540";"1318";"38094";"2544";"1071";"1892";"2439";"273";"21840";"1824";"6745";"1491";"200";"5582";"2200";"3382";"132968";"139349";"39319";"44527";"15180"
"2020 juni";"10";"54";"734";"40";"51";"970";".";"55";"143";"256";"17";"1883";"173";"368";"37";"20";".";".";".";"2687";"10466";"489";"1162";"1513"
"2020 juli";"8";"60";"1317";"58";"161";"5766";".";"90";"160";"268";"30";"1981";"170";"508";"48";"26";".";".";".";"118";"20138";"421";"970";"3311"
"2020 augustus";"2";"58";"1388";"46";"209";"5997";".";"103";"174";"197";"74";"1768";"167";"523";"70";"24";".";".";".";"2";"32945";"285";"1129";"2638"
"2020 september";"2";"76";"2707";"45";"95";"7029";".";"66";"265";"167";"79";"1419";"225";"848";"62";"28";".";".";".";"3016";"11743";"1690";"3780";"3059"
"2020";"38";"777";"15682";"421";"847";"32420";"2351";"523";"2045";"1982";"295";"18319";"1982";"6539";"1162";"216";"5337";"2035";"3302";"110436";"115484";"21311";"67050";"22324"
"2021 juni*";"8";"41";"695";"160";"122";"517";".";"147";"225";"223";"98";"1879";"162";"336";"61";"31";".";".";".";"6725";"7719";"161";"723";"5462"
"2021 juli*";"7";"32";"1112";"242";"232";"7075";".";"71";"271";"275";"104";"2173";"136";"365";"58";"22";".";".";".";"86";"26919";"953";"633";"2697"
"2021 augustus*";"1";"38";"1811";"530";"297";"7187";".";"655";"203";"230";"67";"1668";"138";"371";"63";"23";".";".";".";"347";"30670";"2176";"1113";"1560"
"2021 september*";"2";"45";"2852";"331";"329";"6324";".";"30";"213";"185";"51";"1486";"163";"561";"89";"36";".";".";".";"23";"15188";"6011";"1528";"393"
"Bron: CBS"
